Username,Comment,vader_sentiment
@mosley4442,really helpful. i'm trying to learn html and css barebones with just jon ducketts book. i kinda want to use boiler plates but i feel like it'll just be a crutch for me. thanks for the video super helpful.,1
@harishkumarkallepalli1604,Fantastic bro ,1
@RCASoft,"Being a beginner, I had repeat it several times to understand, but it's worth every minute.",1
@SuvobrotoPal,"Nice informative five minutes , thank you sir",1
@HeadRecieverAtHeadOffice,"that was great, thanks",1
@ricardoherrera8662,"5 minutes, 5 stars! I need to discover other topics you have covered.",1
@nonstoprider1623,Can you please tell which theme you are using in vs code?,1
@fethiajemal330,What app can we use in windows for  HTML,1
@bane2256,"This may be a dumb question but I am curious.   What stops someone from inspecting a website, then making some changes to it in vs code and calling it their own?  I’m a beginner and am just curious",1
@tasrifezzani1483,This video just blowed my mind,1
@SimonAskar,how do I control what I watch by controlling my algorithm??,1
@Piratagorranegra,"its good over all view , I want to learn HTML.  step by step for newbies.",1
@brandtcampbell3610,Great short vid!,1
@briccman,Now I can officially become a web dev,1
@weshmind,perfect thanks,1
@wardiofficiall,Ur a legend  i learned html 6 minutes then css in 8 minutes,1
@snookuel,valid ,1
@user-jq9cr7oy6x,"Great video. I am an html developer. No so big in JS yet. looking for a little help. I have 5 mp3 players on a page. When I click one to play, I want a border drawn around it, or something to indicate which mp3 is playing? Ideas?",1
@gothiccentral1027,how do you make coding friends I want to be around people who I can learn from,1
@dhirazwebdev,Nice Explanation ️,1
@Xo-cx6ed,Wow this is more than I learned in 2 months of coding bootcamp,1
@armando.alamilla,Outstanding video Aaron! How do you make such cool animations?,1
@adarshbhaskar,What is your code editor font called and your VSCode theme?,1
@halcyon19,"Hi Aaron ,Will the new bootcamp be up soon thanks  Haven’t had any updates  via email",1
@kevinrodricks77,"Hi Aaron, I've been watching your videos for a while now and they're really informative and terrific. Thank you so much. Just a quick question, did you ever finish the CS50 Harvard class? Class? I'm just wondering because I am learning quite a lot of interesting information but was wondering if I should persist with it, or go straight to HTML, CSS and JavaScript?",1
@faresmtl9795,Thank you bro for this vidio it's amazing,1
@0xdev411,Superb!,1
@Alex-bc3xe,I love your videos are so nice explained and designed,1
@user-oh6hl8xh3p,thank so much,1
@Gyrosninja,This was a really helpful viedeo thanks,1
@relaxlearn4108,Great work ,1
@Bui.i.i,Really good job done,1
@theanonymous3872,This 5 minute HTML is way better than my 7 week professor lecture,1
@ritafrontend-qc7pu,This is amazing,1
@Frozen_404,What color theme do u use whats the name?,1
@user-pl6wr2wd1v,"seriously, this is an awesome brief html overview. Specifically like the anti-div movement with semantic markup, l learned this, forgot about it then remembered here. thanks.",1
@theoligarchist1503,Hello world HTML should always start with <Title> tag for newbies,1
@Mogambosa,"What font is he using in the IDE? edit: Just found it I think, its called: Cascadia Code.",1
@azizbekmukhtorov,which app do you use for video editing,1
@shajahaniqbal5874,"LOL, Your video explained to me what other people might take years to. Your video is at another level :)",1
@b.jnevel8061,"Great reminder how html actually works, thanks mate",1
@user-pc7in5pd3v,what IDE did you use... tnx...,1
@yalobeko7978,Thank you sir,1
@Demistro_,"Now I can learn the codecademy course easily with faster speed and understandings, thanks a lot!",1
@TheCodeTinkerer,"Great concise primer guide

1 month later:
After attending a webdev course on Udemy I can say, that hot dang it is a very precise, concise and spot on primer people should watch first before trying out bigger cources on the same topic.",1
@martindp_,"Great video.
Anybody knows what's the first song played?",1
@ayomideolayeye4700,Thank you ,1
@speedymon4412,this is liquid gold,1
@IshimweMutunzi,thanks bro,1
@DarkEdgeStudio,where can identify password on and html code?,1
@DarkSky88,"Nice, continue please",1
@Anand_Chennuru,A perfectly decked revision video ,1
@IzabellaphillipsBP,I have a great passion and respect for html.,1
@avidixit07,Thanks :),1
@stackdevloper4941,"Html and  CSS Tutorial For Beginners In Hindi Playlist :  https://www.youtube.com/playlist?list=PLLh5YgSgKbzPa_hctZfR5JLyMy01-qa_4

Html and  CSS Tutorial For Beginners In Punjabi Playlist :  https://www.youtube.com/playlist?list=PLh7Hn1SqkFrzyDPKGYJAyf-IX5rKhafYz",1
@himmatjattana918,Amazing,1
@arbitrarylib,Good overview,1
@user-ei8lz2hs1h,thanks bro,1
@YaroslavEx,"More vids like this, please)",1
@kabijoshi5949,"Aaron, you are so fast = intelligently smart. Great to hear from you in here. I am 52 and civil - structural engineer. I m thinking of change of my career into something like AI programming or more. Right now since a week, I am looking at anything available for free. Do you recommend me anything that is serious to start with?",1
@jwastken8814,Awesome,1
@epicUstm1,what theme in vs code?,1
@celestineemili6313,Wow,1
@tech4028,"please explain flexbox, but eith EXAMPLES like a nice card, navbar etc",1
@malikdanish1175,Well spent graet explanation outstanding ,1
@MohamedAhmouch,Thanks,1
@ahmedshahid2441,Wow Brilliant guy ,1
@abdessalemkheyar3619,"a fucking god, good job bro i hope you're having a nice day",1
@akshitmittal1251,"Love your summarised vids brother. pls create redux, javascript, react and other mern mean tools vid too. Please",1
@WebDevProgrammingChannel-vw4ef,Can any one direct me somewhere that will explain how to make a video like this,1
@clintsamuel8921,"Would love to see a Redux video, Aaron. Thanks in advance.",1
@ali-celebi,Super!,1
@dreamerwandering,good sum up in 5 minutes,1
@jaygudla2113,Good explanation of the video sir,1
@KCoding-code,Thank you so much and also do you mind if you give me tutoring lessons,1
@Hamzamakesfunvideos,LOL nice video in just 5 mins!! ,1
@Yash-sr7nn,great video,1
@philtoa334,"Neo : ""i know HTML""",1
@samyaroy8569,"very helpful 




thank you sir for this information about html....................................................................................................",1
@revanthk61,Can you teach me the tags and how to visually use them? Give me visualizations to show how a website will look when the code is created as you did in 4:45. I will be happy if you show me how these codes work. Hope you make one for me. Please.,1
@rajeshgupta7828,Very nice sir,1
@SHANKARSADVISORY,That's so usefull,1
@sunskate-qe8bm,hello!! watch this to Learn the fastest way to get into coding and skill  to make Maney . () thank you!!!,1
@AudiobookLibrary24-7,Perfect.,1
@Union_Bros,Just wow  ,1
@Alphachannel-video.1M,Amazing ,1
@_lunatiic_friinge_,Thankgod i found this video ️ feeling so blessed ,1
@chat-1978,I used to be a developer. Incredible build up. Congrats.,1
@cloakzhimself8335,please do css now bro.. you've helped me a alot,1
@KCoding-code,This is litteraly a 1 our lesoon in 5 mins I didn't know that was possible,1
@fixiple2722,<3 great vid,1
@deepumohan2351,The Voice ,1
@SarahStarmer,Great video. 3.59: for div and span.,1
@kadirkaya4475,"Video İdea: which technologies should we use for creating professional web site like ""universty or government web sites""",1
@JustJoshinYouBro,Add this to the 5m playlist.,1
@raimonvibe,Soo fast but awesome !,1
@NicoDKYT,"this is very usefull, think i just learned the whole coding language within a few minutes.
welp C# here i come.",1
@Christopherdrums,Nice video. Please do JSP,1
@wolfheartdeadleaves,Now we learn HTML. Next time we'll learn how to scrape it.,1
@hikiy,how do I make a URL for my site?,1
@Josuke217,Awesome,1
@mary-vt4di,Amazing,1
@adeazanez4476,nice,1
@Worry-mart,Bro cooked for this video,1
@joshuangqobololo3206,Dope video and very informative. ..what's the last track's title,1
@simeon2396,"Aaron, why did you stop making the ""Tech news"" videos? I really likes them and they were very unique. Great video btw :)",1
@parodoxicalization,More 5 Minute videos!!!,1
@reidwilliamson6477,Best 5 minutes in history,1
@livesamarth,"I saw it at 2x, hence HTML in 2.5 mins. ",1
@ahmad13faizan,Tou saved my 3 hrs,1
@masterov4268,nice,1
@Zeph504,Guess that is one semester of my college...,1
@user-mu4ky6gf1l,good,1
@geetashahade1547,If you know html this video is very helpful for you....,1
@evankohi5076,nodejs express mongodb react vue.... 5 min vid plz,1
@moustafa_naguib,by fireship style ,1
@tnt_yy2ww,Can you add subtitles?,1
@romeono1647,Yes am an expert after watching this video :),1
@aravindgk9565,-,1
@GabrielSilva-vu3xk,Thanks so fucking much,1
@nightuniverse8314,"Thank you. Call me Elliot Alderson 

xD",1
@dude_no368,This is so easy.,1
@joeb895,This song would’ve been bigger if it was produced like this. ,1
@chey369,1:18 What did he say?,1
@salmaelbarmaki3257,Can you do flexbox in 5 minutes,1
@neymarlagat7675,Short andclear needs sharp mind,1
@trench01,I use to know it all. But I forgot it.,1
@salihamahnoor3088,best,1
@3degrees646,As You said learnt something ,1
@notvoidz,damm the animations tho .....,1
@jessejames258,This coming from someone who has never ever touched HTML. How do you even open the application on the left?,1
@nolorecuerdes,wow,1
@IcaroJudah,"Perfect video and content. But for me it was a little bit rushed. If your were ""Learn HTML in 10 minutes"", I think you would have one of, or maybe fastest, smartest and efficient learning/tutorial videos. Maybe is my ADHD speaking..",1
@akhil5982,-,1
@jasona2722,"<HTML>
             <Body> 
     <p> Thanks Bro </p>
              </body>
</html>",1
@martijnnieuwland,Do CSS,1
@AluCard_6969,"this feels illegal to watch for free
(such a good video)",1
@Dev-Siri,"Actually, it is:
Load this 1 Stylesheet, 5 Images & 20 Scripts",1
@abdurrahmanokur5132,Thank you for the class. Why do you speak so fast ? How someone can get benefit ?,1
@Deepak__Ghimire,I am here for revision ️!!,1
@cherubin03,5 minutes? took me approximately 3 hours,1
@susiebadatti7319,Lol DAMN... OK NOW I CAN GO BACK TO ADD MY BUTTON I GET IT KNOW LOL SHEEEWW,1
@the.darver,04:56 literally me.,1
@f4stpoke133,"Hi, i love you.",1
@pavanvtayde,4:55,1
@kerhabplays,Me: Speed 0.25X ;_;,1
@allenmano,ONLY FOR REVISION PURPOSE,1
@LizReyes-tr2mc,"Ahh so i can write a code like

<body>
<p>hi</p>
<button>GYATT</button>
</body>

And it would work?",1
@webdevelopment2612,If you need to learn webdevelopment,1
@rishabhroy1774,Here's a comment for the youtube algorithm.,1
@ruginakealy6654,WHO ELSE CAN GRAB THAT AS FAST AS IT IS,1
@Anonymous-gu1bt,Are you supposed to memorize everything to be a good coder?,1
@neojw5011,Laravel/php in 5mins,1
@sameersharma4755,Love the video. Good job man. <handshake> did semantic there  ;),1
@elian6019,"Can you do machine language in 5 minutes ; )
Just kidding.",1
@mejustme9115,ف خمس دقايق شرح الي الدكتور ياخذ اسابيع فيه,1
@betacr1t1kal45,if im ever rich and famous heres evidence i watched this video at some point,1
@vinay6188,I'm the 1000th person who liked it ,1
@oguzhanacar8158,How to make video Like this video just 5 minutes,1
@zkindy2344,Not for beginners..to fast,1
@ritkiagautam4110,Aron ,1
@sushilarai3936,"Excuse me Aaron brother, can I please ask a favor from you ",1
@sayf.shaikh,It's too big to can't understand ,1
@ritkiagautam4110,Good try,1
@ajirobajutosin6753,JS in 5mins,1
@realchicagophill,When are you going to explain women in 5 minutes?,1
@dontstopwhenuaretiredstopw3265,How many of you have your monthly class test tomorrow? Don't lie ,1
@ilyesmilyesm2576,2 minutes in the video and already got an offer from google!,1
@maizenJJ6968,I do not understand anything,1
@paulhetherington3854,"You thought, by TTY - u could -- free form -- our intel? You used - Cha(ng)e from origin!
Made u -- Muslim brotherhood",1
@mansooradolee7800,What are you talking about ?,1
@joeydunne3121,Onepiece blog brought me here! Wow one piece!!!!!!!!!!!!!!! HTML!!!!! :D,1
@DvApps,Last,1
@golddust9355,way too fast for a tutorial. its a short recap for the people who already know web designing inside out. what's the point of watching it again then????,1
@siddhartharoy5263,Second,1
@farrukhatabekov595,You are copying FIRESHIP. Come on.,1
@Gaming_Ranger_777,this is pooop,1
@spejr879,"Although this information is great, piece of advice: slow down. Not everyone that comes to your channel is an experienced web developer. You’re moving way too fast, as if you downed 20 onces of coffee before you made the video. Slow it down….",1
