Username,Comment
@bane2256,"This may be a dumb question but I am curious.   What stops someone from inspecting a website, then making some changes to it in vs code and calling it their own?  I’m a beginner and am just curious"
@tasrifezzani1483,This video just blowed my mind
@SimonAskar,how do I control what I watch by controlling my algorithm??
@Piratagorranegra,"its good over all view , I want to learn HTML.  step by step for newbies."
@brandtcampbell3610,Great short vid!
@joshuaseabrook9835,"You made this with no dislikes, that’s a feat in it of itself"
@briccman,Now I can officially become a web dev
@weshmind,perfect thanks
@wardiofficiall,Ur a legend  i learned html 6 minutes then css in 8 minutes
@snookuel,valid 
@user-jq9cr7oy6x,"Great video. I am an html developer. No so big in JS yet. looking for a little help. I have 5 mp3 players on a page. When I click one to play, I want a border drawn around it, or something to indicate which mp3 is playing? Ideas?"
@gothiccentral1027,how do you make coding friends I want to be around people who I can learn from
@dhirazwebdev,Nice Explanation ️
@Xo-cx6ed,Wow this is more than I learned in 2 months of coding bootcamp
@armando.alamilla,Outstanding video Aaron! How do you make such cool animations?
@adarshbhaskar,What is your code editor font called and your VSCode theme?
@halcyon19,"Hi Aaron ,Will the new bootcamp be up soon thanks  Haven’t had any updates  via email"
@kevinrodricks77,"Hi Aaron, I've been watching your videos for a while now and they're really informative and terrific. Thank you so much. Just a quick question, did you ever finish the CS50 Harvard class? Class? I'm just wondering because I am learning quite a lot of interesting information but was wondering if I should persist with it, or go straight to HTML, CSS and JavaScript?"
@faresmtl9795,Thank you bro for this vidio it's amazing
@0xdev411,Superb!
@Alex-bc3xe,I love your videos are so nice explained and designed
@user-oh6hl8xh3p,thank so much
@Gyrosninja,This was a really helpful viedeo thanks
@relaxlearn4108,Great work 
@Bui.i.i,Really good job done
@theanonymous3872,This 5 minute HTML is way better than my 7 week professor lecture
@ritafrontend-qc7pu,This is amazing
@Frozen_404,What color theme do u use whats the name?
@user-pl6wr2wd1v,"seriously, this is an awesome brief html overview. Specifically like the anti-div movement with semantic markup, l learned this, forgot about it then remembered here. thanks."
@theoligarchist1503,Hello world HTML should always start with <Title> tag for newbies
@Mogambosa,"What font is he using in the IDE? edit: Just found it I think, its called: Cascadia Code."
@azizbekmukhtorov,which app do you use for video editing
@shajahaniqbal5874,"LOL, Your video explained to me what other people might take years to. Your video is at another level :)"
@b.jnevel8061,"Great reminder how html actually works, thanks mate"
@user-pc7in5pd3v,what IDE did you use... tnx...
@yalobeko7978,Thank you sir
@Demistro_,"Now I can learn the codecademy course easily with faster speed and understandings, thanks a lot!"
@TheCodeTinkerer,"Great concise primer guide

1 month later:
After attending a webdev course on Udemy I can say, that hot dang it is a very precise, concise and spot on primer people should watch first before trying out bigger cources on the same topic."
@martindp_,"Great video.
Anybody knows what's the first song played?"
@ayomideolayeye4700,Thank you 
@speedymon4412,this is liquid gold
@IshimweMutunzi,thanks bro
@DarkEdgeStudio,where can identify password on and html code?
@DarkSky88,"Nice, continue please"
@Anand_Chennuru,A perfectly decked revision video 
@IzabellaphillipsBP,I have a great passion and respect for html.
@avidixit07,Thanks :)
@stackdevloper4941,"Html and  CSS Tutorial For Beginners In Hindi Playlist :  https://www.youtube.com/playlist?list=PLLh5YgSgKbzPa_hctZfR5JLyMy01-qa_4

Html and  CSS Tutorial For Beginners In Punjabi Playlist :  https://www.youtube.com/playlist?list=PLh7Hn1SqkFrzyDPKGYJAyf-IX5rKhafYz"
@himmatjattana918,Amazing
@arbitrarylib,Good overview
@user-ei8lz2hs1h,thanks bro
@YaroslavEx,"More vids like this, please)"
@kabijoshi5949,"Aaron, you are so fast = intelligently smart. Great to hear from you in here. I am 52 and civil - structural engineer. I m thinking of change of my career into something like AI programming or more. Right now since a week, I am looking at anything available for free. Do you recommend me anything that is serious to start with?"
@jwastken8814,Awesome
@tuterruyi5178,Damn when cover says 5min i thought it would direct install to our mind
@epicUstm1,what theme in vs code?
@celestineemili6313,Wow
@tech4028,"please explain flexbox, but eith EXAMPLES like a nice card, navbar etc"
@malikdanish1175,Well spent graet explanation outstanding 
@MohamedAhmouch,Thanks
@ahmedshahid2441,Wow Brilliant guy 
@abdessalemkheyar3619,"a fucking god, good job bro i hope you're having a nice day"
@akshitmittal1251,"Love your summarised vids brother. pls create redux, javascript, react and other mern mean tools vid too. Please"
@WebDevProgrammingChannel-vw4ef,Can any one direct me somewhere that will explain how to make a video like this
@clintsamuel8921,"Would love to see a Redux video, Aaron. Thanks in advance."
@ali-celebi,Super!
@dreamerwandering,good sum up in 5 minutes
@jaygudla2113,Good explanation of the video sir
@KCoding-code,Thank you so much and also do you mind if you give me tutoring lessons
@Hamzamakesfunvideos,LOL nice video in just 5 mins!! 
@stickperson286,"That was very thorough, that was very fast, I am very scared."
@Yash-sr7nn,great video
@philtoa334,"Neo : ""i know HTML"""
@samyaroy8569,"very helpful 




thank you sir for this information about html...................................................................................................."
@revanthk61,Can you teach me the tags and how to visually use them? Give me visualizations to show how a website will look when the code is created as you did in 4:45. I will be happy if you show me how these codes work. Hope you make one for me. Please.
@rajeshgupta7828,Very nice sir
@SHANKARSADVISORY,That's so usefull
@sunskate-qe8bm,hello!! watch this to Learn the fastest way to get into coding and skill  to make Maney . () thank you!!!
@AudiobookLibrary24-7,Perfect.
@Union_Bros,Just wow  
@Alphachannel-video.1M,Amazing 
@_lunatiic_friinge_,Thankgod i found this video ️ feeling so blessed 
@Online28_JStr78,Just your first 2 mins of your vid taught me more then my stupid IT teacher
@chat-1978,I used to be a developer. Incredible build up. Congrats.
@cloakzhimself8335,please do css now bro.. you've helped me a alot
@KCoding-code,This is litteraly a 1 our lesoon in 5 mins I didn't know that was possible
@fixiple2722,<3 great vid
@deepumohan2351,The Voice 
@SarahStarmer,Great video. 3.59: for div and span.
@kadirkaya4475,"Video İdea: which technologies should we use for creating professional web site like ""universty or government web sites"""
@Thecarameltype,"roses are red,
cactuses are prickly,
holy shit-
that was escalating quickly-"
@JustJoshinYouBro,Add this to the 5m playlist.
@raimonvibe,Soo fast but awesome !
@NicoDKYT,"this is very usefull, think i just learned the whole coding language within a few minutes.
welp C# here i come."
@Christopherdrums,Nice video. Please do JSP
@wolfheartdeadleaves,Now we learn HTML. Next time we'll learn how to scrape it.
@hikiy,how do I make a URL for my site?
@Josuke217,Awesome
@mary-vt4di,Amazing
@adeazanez4476,nice
@Worry-mart,Bro cooked for this video
@joshuangqobololo3206,Dope video and very informative. ..what's the last track's title
@simeon2396,"Aaron, why did you stop making the ""Tech news"" videos? I really likes them and they were very unique. Great video btw :)"
@parodoxicalization,More 5 Minute videos!!!
@reidwilliamson6477,Best 5 minutes in history
@livesamarth,"I saw it at 2x, hence HTML in 2.5 mins. "
@ahmad13faizan,Tou saved my 3 hrs
@mcchikin2751,"this is really well made but a lot of information at once, maybe u can find a way to dumb it down even further for the sake of time"
@masterov4268,nice
@Zeph504,Guess that is one semester of my college...
@obsessivesec,WTF I LEARNED A LOT IN JUST 5 MINS DAMN
@user-mu4ky6gf1l,good
@geetashahade1547,If you know html this video is very helpful for you....
@evankohi5076,nodejs express mongodb react vue.... 5 min vid plz
@moustafa_naguib,by fireship style 
@tnt_yy2ww,Can you add subtitles?
@romeono1647,Yes am an expert after watching this video :)
@aravindgk9565,-
@GabrielSilva-vu3xk,Thanks so fucking much
@nightuniverse8314,"Thank you. Call me Elliot Alderson 

xD"
@dude_no368,This is so easy.
@joeb895,This song would’ve been bigger if it was produced like this. 
@chey369,1:18 What did he say?
@salmaelbarmaki3257,Can you do flexbox in 5 minutes
@neymarlagat7675,Short andclear needs sharp mind
@trench01,I use to know it all. But I forgot it.
@salihamahnoor3088,best
@3degrees646,As You said learnt something 
@notvoidz,damm the animations tho .....
@jessejames258,This coming from someone who has never ever touched HTML. How do you even open the application on the left?
@nolorecuerdes,wow
@IcaroJudah,"Perfect video and content. But for me it was a little bit rushed. If your were ""Learn HTML in 10 minutes"", I think you would have one of, or maybe fastest, smartest and efficient learning/tutorial videos. Maybe is my ADHD speaking.."
@akhil5982,-
@Drag0n_k,damn in 5 mins?
@jasona2722,"<HTML>
             <Body> 
     <p> Thanks Bro </p>
              </body>
</html>"
@martijnnieuwland,Do CSS
@AluCard_6969,"this feels illegal to watch for free
(such a good video)"
@Dev-Siri,"Actually, it is:
Load this 1 Stylesheet, 5 Images & 20 Scripts"
@abdurrahmanokur5132,Thank you for the class. Why do you speak so fast ? How someone can get benefit ?
@Deepak__Ghimire,I am here for revision ️!!
@pavanvtayde,breaking bad reference!?
@speedymon4412,"I was stressing for my exman 5 minutes ago, sike not anymore bches dayum I got this"
@cherubin03,5 minutes? took me approximately 3 hours
@susiebadatti7319,Lol DAMN... OK NOW I CAN GO BACK TO ADD MY BUTTON I GET IT KNOW LOL SHEEEWW
@the.darver,04:56 literally me.
@f4stpoke133,"Hi, i love you."
@pavanvtayde,4:55
@kelvinmarte9942,"I know there is a lot of guys that will get it but the one thing I came here to learn went by so fast I didn't learn anything, well, just look at another channel"
@kerhabplays,Me: Speed 0.25X ;_;
@allenmano,ONLY FOR REVISION PURPOSE
@LizReyes-tr2mc,"Ahh so i can write a code like

<body>
<p>hi</p>
<button>GYATT</button>
</body>

And it would work?"
@webdevelopment2612,If you need to learn webdevelopment
@rishabhroy1774,Here's a comment for the youtube algorithm.
@ruginakealy6654,WHO ELSE CAN GRAB THAT AS FAST AS IT IS
@Anonymous-gu1bt,Are you supposed to memorize everything to be a good coder?
@jkovert,"Frankly, this should terrify you."
@neojw5011,Laravel/php in 5mins
@sameersharma4755,Love the video. Good job man. <handshake> did semantic there  ;)
@elian6019,"Can you do machine language in 5 minutes ; )
Just kidding."
@mejustme9115,ف خمس دقايق شرح الي الدكتور ياخذ اسابيع فيه
@betacr1t1kal45,if im ever rich and famous heres evidence i watched this video at some point
@vinay6188,I'm the 1000th person who liked it 
@oguzhanacar8158,How to make video Like this video just 5 minutes
@zkindy2344,Not for beginners..to fast
@ritkiagautam4110,Aron 
@sushilarai3936,"Excuse me Aaron brother, can I please ask a favor from you "
@sayf.shaikh,It's too big to can't understand 
@ritkiagautam4110,Good try
@ajirobajutosin6753,JS in 5mins
@realchicagophill,When are you going to explain women in 5 minutes?
@dontstopwhenuaretiredstopw3265,How many of you have your monthly class test tomorrow? Don't lie 
@ilyesmilyesm2576,2 minutes in the video and already got an offer from google!
@maizenJJ6968,I do not understand anything
@paulhetherington3854,"You thought, by TTY - u could -- free form -- our intel? You used - Cha(ng)e from origin!
Made u -- Muslim brotherhood"
@ilyesmilyesm2576,"make a video about bootcamp, I mean bootstcamp, oh no I think it's bootstramp"
@mansooradolee7800,What are you talking about ?
@joeydunne3121,Onepiece blog brought me here! Wow one piece!!!!!!!!!!!!!!! HTML!!!!! :D
@DvApps,Last
@golddust9355,way too fast for a tutorial. its a short recap for the people who already know web designing inside out. what's the point of watching it again then????
@siddhartharoy5263,Second
@farrukhatabekov595,You are copying FIRESHIP. Come on.
@ibnearabi3640,Your ads are really out of context and even worse.
@Gaming_Ranger_777,this is pooop
@spejr879,"Although this information is great, piece of advice: slow down. Not everyone that comes to your channel is an experienced web developer. You’re moving way too fast, as if you downed 20 onces of coffee before you made the video. Slow it down…."
